,name,link,link_employer,salary,salary_min,salary_max,salary_cur
49,Сборщик-тестировщик РЭА,https://hh.ru/vacancy/46552710?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1146175,,,,
50,Монтажник РЭА и приборов,https://hh.ru/vacancy/46992680?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1338232,от 60000 руб.,60000.0,,руб
51,Монтажник РЭА и приборов,https://hh.ru/vacancy/47133903?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1338232,от 60000 руб.,60000.0,,руб
52,"Инженер-электронщик - AVR-микроконтроллеры / Arduino (квесты, аттракционы)",https://hh.ru/vacancy/47164700?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1734052,70000 – 90000 руб.,70000.0,90000.0,руб
53,Инженер-наладчик / Сервисный-инженер (Ассистент инженер-наладчика),https://hh.ru/vacancy/47048014?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2893402,от 85000 руб.,85000.0,,руб
54,Инженер-наладчик,https://hh.ru/vacancy/46636090?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4168519,от 60000 руб.,60000.0,,руб
55,Инженер-программист микроконтроллеров,https://hh.ru/vacancy/47239238?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5653560,,,,
56,"Сервисный инженер, техник (электронные компоненты)",https://hh.ru/vacancy/47039820?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/208580,60000 – 60000 руб.,60000.0,60000.0,руб
57,Инженер-программист микроконтроллеров,https://hh.ru/vacancy/46455318?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/22508,,,,
58,Инженер по ремонту измерительного оборудования,https://hh.ru/vacancy/46942959?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2608660,100000 – 150000 руб.,100000.0,150000.0,руб
59,Монтажник РЭА и приборов (производство радиоэлектронной аппаратуры),https://hh.ru/vacancy/45494501?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3007397,от 73000 руб.,73000.0,,руб
60,Инженер,https://hh.ru/vacancy/47184416?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/781943,,,,
61,Инженер автоматизированных измерительных комплексов LabVIEW,https://hh.ru/vacancy/46424098?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/701926,,,,
62,Инженер,https://hh.ru/vacancy/46650353?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1183811,,,,
63,Инженер по надежности и отказобезопасности,https://hh.ru/vacancy/47130990?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5611020,от 70000 руб.,70000.0,,руб
64,Инженер-конструктор (ПКД),https://hh.ru/vacancy/46828672?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/145408,от 70000 руб.,70000.0,,руб
65,Инженер по технической поддержке и рекламационной работе,https://hh.ru/vacancy/46646001?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/22508,,,,
66,Инженер группы ремонта,https://hh.ru/vacancy/45665185?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/10160,50000 – 97500 руб.,50000.0,97500.0,руб
67,Инженер-испытатель РЭАиП,https://hh.ru/vacancy/47196706?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/973282,,,,
68,Инженер (медицинское оборудование),https://hh.ru/vacancy/44088939?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/829,,,,
69,Ведущий инженер по надежности и отказобезопасности,https://hh.ru/vacancy/46917889?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5611020,от 100000 руб.,100000.0,,руб
70,Senior разработчик IoT устройств / Senior - программист микроконтроллеров,https://hh.ru/vacancy/46746177?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3528100,от 230000 руб.,230000.0,,руб
71,Инженер-разработчик IoT устройств / Программист микроконтроллеров,https://hh.ru/vacancy/47237894?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/678191,,,,
